	gene1	gene2	pvalue	oddsratio
0	TCF7L2	CTNNB1	0.9015805073650888	1.6786858974358974
1	SMAD4	SMAD3	0.839665475908354	1.4567901234567902
2	EP300	TP53	0.0742406168447767	0.5221052631578947
3	USP7	TP53	0.0819013834986041	0.5038863575448941
4	SMAD4	SMAD2	0.8156595233865845	1.3767752715121135
5	PIK3R1	PIK3CA	0.9573823094238312	1.845708775313404
6	CTNNB1	APC	0.047555331390048916	0.48963210702341137
7	PIK3R1	ERBB3	0.9971010370529303	4.224952741020794
8	CREBBP	TP53	0.035104155554085484	0.5289333750390992
9	SMARCA4	ARID1A	0.9991361722077743	3.75
10	CTNNB1	CDH2	0.999999964489418	11.68095238095238
11	AR	CTNNB1	0.9916853230636496	3.6954732510288064
12	OBSCN	TTN	0.9999999999996864	5.843346253229974
13	DOCK1	ELMO1	0.999703999504606	7.052469135802469
14	KMT2C	NCOA6	0.9999999981072063	15.855855855855856
15	TP53BP1	TP53	0.012257150574058533	0.34325259515570933
16	ARFGEF2	ARFGEF1	0.9999995240554403	11.101648351648352
17	SMAD3	WWP1	0.9804061779260826	3.2583732057416266
18	TTN	OBSL1	0.9999490454311546	6.660919540229885
19	PIK3R1	KIT	0.9999720619126962	7.912280701754386
20	NCOA6	KMT2B	0.9999904038985403	7.569767441860465
21	CTNNB1	CTNNA1	0.9997022917358567	5.986666666666666
22	NEB	TTN	0.9999934939049916	3.135678391959799
23	SMARCA4	PBRM1	0.9998241514417069	6.632352941176471
24	SPTB	SPTA1	0.999990893237553	5.0174825174825175
25	APC	AMER1	0.8948298922566849	1.43003663003663
26	BCOR	KDM2B	0.9999930407975652	8.552380952380952
27	RUNX1T1	NCOR1	0.9822746459538954	2.9765886287625416
28	CUL9	TP53	0.018436932873937373	0.45592705167173253
29	KDR	HSPG2	0.4311595683165502	0.5069444444444444
30	ARFGEF1	KIF21A	0.9999999778004267	10.98136645962733
31	PCNT	PCM1	0.9993974431709199	5.235294117647059
32	AMER1	CTNNB1	0.9294414887313126	1.7978181818181818
33	FLT4	KDR	0.9980817165188065	4.648033126293996
34	SMARCA4	ARID2	0.9995915176472498	4.971014492753623
35	SMAD2	TP53	0.08190138349860049	0.5038863575448941
36	SMC2	SMC4	0.9999813249468366	10.125
37	BPTF	SMARCA1	0.9999518281894543	8.470588235294118
